S.No,Company Name,Industry,Country,Date of Attack,Type of Attack,Attack Vector,Data Type Compromised,Records Exposed,Financial Loss ($),Recovery Cost ($),Downtime (Days),Employees,Ransom Demanded?,Ransom Paid?,Detect Time (Days),Contain Time (Days),Attack Source,Reported?,Regulatory Penalty ($),Public Impact
357,Learnify,Education,India,2021-10-24,Ransomware,Third-party Vendor,User Credentials,193853,4507551,1849312,28,83857,No,Yes,95,28,External,Yes,330630,Consider study military moment kid.
358,SkillBridge,Education,Singapore,2024-12-29,Ransomware,Web App,Customer Data,222361,295835,710562,7,57018,No,No,82,14,Internal,No,369149,Who bank information half affect system.
359,AxisWealth,Finance,Australia,2021-03-14,Ransomware,Email,Financial Data,49778,4668260,36824,13,31279,Yes,Unknown,63,27,Internal,No,490036,Employee us break every.
360,MediTech Global,Healthcare,UK,2024-01-22,DDoS,USB Drive,Financial Data,559628,855199,146745,20,30766,Yes,Unknown,34,19,Internal,Yes,254909,Politics else within they tax material.
361,Learnify,Education,Australia,2021-11-07,Malware,Cloud Misconfig,Financial Data,252244,383686,42978,24,55733,No,Unknown,19,28,External,No,941134,Work enjoy actually cup property.
362,MediTech Global,Healthcare,Singapore,2020-07-14,Malware,Phishing Link,Employee Records,368701,797665,1520385,30,45025,Yes,No,9,10,Internal,No,62087,Discussion glass window avoid culture.
363,BrightMinds,Education,Brazil,2021-06-29,Ransomware,Web App,Health Records,867700,2787744,742774,19,48262,Yes,No,95,22,External,Yes,231360,Least improve win everyone popular.
364,NetLine,Telecom,Australia,2021-07-08,DDoS,Cloud Misconfig,Customer Data,166268,2498951,299759,27,11633,No,Yes,45,14,External,No,848973,Trial sure opportunity also local contain action.
365,BioGenix,Healthcare,Japan,2022-01-21,Data Breach,Cloud Misconfig,Customer Data,531076,1609443,592935,23,84978,No,Yes,95,6,External,Yes,232523,Interview food garden include how than international.
366,ShopEase,Retail,Germany,2022-08-17,DDoS,USB Drive,Financial Data,716964,524515,1408124,13,22569,No,No,54,16,External,Yes,220644,Same up less share worker seven.
367,LifeSure Health,Healthcare,Canada,2022-02-09,Malware,USB Drive,User Credentials,74182,4302953,148621,18,94225,Yes,Unknown,1,19,External,Yes,487511,Eight ready six group.
368,ConnectNow,Telecom,Australia,2024-04-18,DDoS,Cloud Misconfig,Customer Data,493916,2048215,1471512,3,72646,Yes,No,49,28,Internal,Yes,371220,Ground indicate hospital establish one.
369,SkillBridge,Education,USA,2022-12-18,Phishing,Cloud Misconfig,User Credentials,589840,1566538,214305,29,4060,Yes,No,14,24,External,No,474339,Less break economy plan manage clear.
370,EduFuture,Education,Canada,2021-01-26,Credential Theft,Email,Health Records,864961,3271716,1136403,28,54118,Yes,No,78,20,Internal,No,81292,Walk face exactly until.
371,SafePay Group,Finance,USA,2023-11-26,Data Breach,Phishing Link,User Credentials,233212,742508,1105040,21,60105,No,Unknown,92,6,Internal,No,52222,Value image senior.
372,NetLine,Telecom,Japan,2024-02-22,Phishing,Email,Employee Records,502841,4976420,1959538,5,96071,No,No,84,4,External,Yes,544805,Big someone situation find local.
373,SafePay Group,Finance,Canada,2021-06-25,Ransomware,Cloud Misconfig,Customer Data,117840,4455147,1260749,14,12019,Yes,Unknown,15,16,External,No,761364,Red organization believe wear hard recognize but.
374,NetLine,Telecom,Japan,2023-02-10,Credential Theft,Email,Financial Data,617029,817723,142532,28,1577,No,Yes,83,19,Internal,No,442578,Hand wall four Mrs.
375,AxisWealth,Finance,UK,2021-05-30,Data Breach,Third-party Vendor,Health Records,910116,4865208,732856,6,64588,Yes,Unknown,5,22,External,Yes,3075,Stock foreign opportunity Mrs stuff bed sort really.
376,FastMove,Logistics,Canada,2022-01-02,Ransomware,Email,User Credentials,626497,77261,660189,20,69944,No,Unknown,43,17,External,No,292036,Production especially stuff reflect because executive institution.
377,EnergyCore,Energy,Singapore,2024-11-05,Ransomware,Phishing Link,Financial Data,594586,3235177,138604,15,51334,Yes,Yes,84,25,External,Yes,858334,Myself hotel contain view.
378,RoadRunner Logi,Logistics,Singapore,2023-10-14,Credential Theft,Email,Employee Records,321649,3198934,1930215,26,58513,Yes,Unknown,77,26,Internal,Yes,342433,Stock product rest employee yeah current.
379,SkillBridge,Education,Japan,2024-10-01,Data Breach,Third-party Vendor,User Credentials,104099,2935050,616013,25,61075,Yes,Yes,16,9,External,No,817522,Science difficult threat whose customer suffer travel data.
380,TrustCapital,Finance,Brazil,2024-02-18,Malware,Third-party Vendor,Customer Data,644449,2050037,1166167,26,34500,Yes,Unknown,11,22,Internal,No,22394,Again others show tax prove.
381,BrightMinds,Education,India,2023-08-08,Phishing,USB Drive,Customer Data,781433,4453178,1195654,14,54823,Yes,No,18,17,External,No,541124,May skin drive full.
382,CodeVista,Tech,Australia,2021-02-22,Credential Theft,USB Drive,User Credentials,40976,3183775,274014,30,89667,Yes,No,40,22,Internal,No,687617,Real paper check land care involve.
383,LifeSure Health,Healthcare,France,2022-04-28,Phishing,Third-party Vendor,User Credentials,517227,2658831,487306,11,49003,Yes,No,53,4,External,No,463803,Let better woman enough seem.
384,CodeVista,Tech,UK,2024-05-14,DDoS,Third-party Vendor,Financial Data,139452,2483915,364712,5,22614,Yes,No,96,27,External,Yes,144806,Chance capital involve benefit mind my.
385,LifeSure Health,Healthcare,USA,2022-12-09,DDoS,Third-party Vendor,Financial Data,98459,1591763,1980684,10,97243,Yes,Unknown,12,8,External,No,64753,Traditional officer off.
386,HealTech,Healthcare,France,2020-10-20,Phishing,USB Drive,Customer Data,913658,2968145,491766,6,7531,Yes,Yes,2,27,External,No,541208,Matter peace thank financial politics according.
387,CodeVista,Tech,Canada,2022-03-03,Ransomware,Web App,Health Records,967176,3411796,290394,7,28412,Yes,Unknown,61,17,Internal,Yes,65509,Cultural plan reality left.
388,BioGenix,Healthcare,Japan,2021-12-29,DDoS,Email,Customer Data,605473,1978620,418928,9,72494,No,No,93,22,Internal,No,853318,Language response rise baby use song lose.
389,AxisWealth,Finance,Canada,2021-12-13,DDoS,Web App,Health Records,823487,2222514,346781,7,30575,No,No,94,27,External,Yes,275838,Animal hand degree like simple option write eight.
390,EnergyCore,Energy,Australia,2021-10-06,Credential Theft,Third-party Vendor,Financial Data,960457,2341351,1490869,30,64650,Yes,No,76,19,External,Yes,886150,Determine policy question perform rule his.
391,Learnify,Education,Japan,2024-06-02,Data Breach,Email,Health Records,382015,1037963,1663402,3,23526,Yes,No,73,3,External,Yes,839299,Pressure front idea body capital those.
392,LifeSure Health,Healthcare,Japan,2022-04-07,Phishing,Web App,Financial Data,473581,3581424,1163564,13,17444,No,Yes,57,11,External,No,434909,Pm material science choice knowledge.
393,NetLine,Telecom,Australia,2022-10-19,Ransomware,Email,Financial Data,695905,1570133,1627531,29,98804,No,Yes,31,14,External,Yes,200313,Policy pay evidence media drop.
394,ConnectNow,Telecom,Germany,2021-10-21,Data Breach,USB Drive,Employee Records,207961,443959,1052348,23,33730,Yes,Yes,18,23,External,No,808668,Focus fine fall very.
395,CodeVista,Tech,France,2023-06-02,Malware,Cloud Misconfig,Customer Data,465624,1990575,1910750,1,20478,Yes,Unknown,2,10,External,Yes,422386,Street never rest realize drop Mrs customer.
396,CodeVista,Tech,Canada,2021-12-29,Malware,Phishing Link,Employee Records,941046,3848118,164512,19,38230,No,No,98,27,External,No,731381,Operation name sign owner visit price.
397,SafePay Group,Finance,France,2022-04-15,Data Breach,Email,User Credentials,10139,2699986,590293,4,86223,No,Unknown,2,3,External,No,385098,Article board material mission nearly international responsibility.
398,AxisWealth,Finance,USA,2023-06-26,DDoS,Third-party Vendor,Employee Records,637789,4391893,737887,18,40146,Yes,Yes,38,26,Internal,No,305451,Let address perhaps should.
399,SkillBridge,Education,France,2020-07-16,Ransomware,Phishing Link,Financial Data,107239,3414335,153284,23,85314,Yes,Unknown,38,28,Internal,No,696809,Certainly production though modern.
400,GreenVolt,Energy,Singapore,2020-11-24,Phishing,Phishing Link,Financial Data,879735,3865585,1234590,22,22838,No,Yes,63,9,External,Yes,38279,Level simple fly.
401,FastMove,Logistics,Germany,2021-02-18,DDoS,Email,Customer Data,550979,2342223,1672945,17,62209,Yes,Unknown,44,11,External,No,591201,Race model player cost should herself.
402,SkillBridge,Education,Singapore,2025-06-21,Credential Theft,USB Drive,User Credentials,65620,2376363,676154,27,77795,No,No,19,22,Internal,No,21384,Wind investment none ready.
403,SkillBridge,Education,Australia,2021-09-08,Ransomware,Cloud Misconfig,Employee Records,807176,3368300,1810623,25,97167,Yes,Unknown,81,8,External,No,146402,Low this far magazine.
404,NovaBank,Finance,Canada,2023-10-16,Ransomware,Phishing Link,Customer Data,893715,4734096,767448,22,50406,Yes,Unknown,88,10,Internal,No,775762,World contain its ball talk size.
405,EnergyCore,Energy,France,2021-12-28,Phishing,Email,Health Records,349237,2570587,1711670,1,25083,Yes,Unknown,32,25,Internal,Yes,622086,Enjoy middle its sit while glass.
406,BrightMinds,Education,Germany,2021-10-04,Data Breach,Web App,Employee Records,646176,4628740,371681,5,70187,No,Unknown,1,5,External,Yes,85088,Ask out consider more.
407,SkillBridge,Education,France,2021-04-21,Ransomware,Email,User Credentials,176182,4792664,89251,9,65427,Yes,No,18,5,External,Yes,13286,While including season itself star.
408,BrightMinds,Education,Brazil,2020-08-31,Phishing,Web App,Customer Data,136200,2944261,1156907,1,50126,No,Unknown,7,25,External,No,113586,Major maybe bill even and.
409,CargoXpress,Logistics,India,2022-03-10,Data Breach,Third-party Vendor,Financial Data,641392,2220961,1861697,19,97788,Yes,Unknown,36,9,External,Yes,818264,Responsibility take degree strategy least Mrs record capital.
410,GreenVolt,Energy,Germany,2024-05-10,DDoS,Phishing Link,Financial Data,213294,516220,1092708,30,6307,Yes,No,16,17,Internal,Yes,273374,Word new whom wish across painting they.
411,BrightMinds,Education,Singapore,2022-02-21,Credential Theft,Phishing Link,Health Records,46695,3503002,345892,19,41736,No,Unknown,86,2,Internal,No,919710,Drug popular his reach.
412,BrightMinds,Education,Japan,2023-10-17,Data Breach,Web App,User Credentials,477367,3816081,836205,23,38616,Yes,No,92,20,External,No,546333,Here black side continue election chair.
413,NovaBank,Finance,Australia,2023-09-03,DDoS,Phishing Link,Health Records,504950,4681994,257740,3,85138,Yes,Unknown,98,13,Internal,Yes,438629,Likely perhaps story.
414,OpenCampus,Education,Australia,2020-07-20,DDoS,USB Drive,Customer Data,974848,1128675,808696,1,25864,No,Unknown,90,17,Internal,No,771718,News especially green building capital develop somebody.
415,EduFuture,Education,Brazil,2021-12-16,Credential Theft,Email,User Credentials,457526,3351296,446162,26,76614,No,Unknown,1,16,External,No,340318,Yes involve need will door law.
416,Learnify,Education,UK,2023-01-07,Credential Theft,Web App,Employee Records,439639,1208768,1963834,14,40946,Yes,Yes,21,9,External,No,506085,Plan rate perhaps father experience response.
417,TrackSwift,Logistics,India,2022-03-31,DDoS,Web App,Customer Data,278478,1057840,116536,29,4270,Yes,Yes,11,4,Internal,Yes,897445,Quality each interview project include.
418,EnergyCore,Energy,UK,2024-09-07,Data Breach,USB Drive,Employee Records,890601,3697549,512420,21,78834,No,No,94,13,External,No,485892,My cost dinner big person issue.
419,UrbanCart,Retail,Canada,2023-12-18,DDoS,Email,Customer Data,269777,4812169,101426,8,89330,No,No,75,18,External,Yes,143107,Figure health determine clearly thought.
420,CloudForge,Tech,Brazil,2021-12-21,Credential Theft,Cloud Misconfig,Financial Data,950680,2504171,1221970,15,3464,Yes,Unknown,20,27,Internal,No,938822,Unit down answer that but.
421,NovaBank,Finance,USA,2023-12-11,Phishing,USB Drive,Customer Data,202874,4877939,162408,8,16947,No,Yes,5,27,Internal,Yes,794328,Young power director leave forget within instead.
422,CloudForge,Tech,India,2021-03-08,DDoS,Web App,Customer Data,816432,1612749,843890,9,8313,No,Yes,88,6,External,Yes,40875,General be entire plan.
423,TechBloom,Tech,Singapore,2023-03-22,Credential Theft,Third-party Vendor,Health Records,73136,1368304,1956151,29,10279,No,Unknown,24,27,Internal,Yes,295349,Occur make everybody nothing.
424,GreenVolt,Energy,UK,2022-06-15,Malware,Third-party Vendor,Health Records,204732,1394781,189488,29,74055,Yes,Unknown,32,7,Internal,Yes,431717,Real white approach everything.
425,SafePay Group,Finance,Germany,2021-07-04,Data Breach,Third-party Vendor,Customer Data,852822,418027,1321868,12,30646,Yes,Unknown,11,18,Internal,No,862501,North resource network brother debate truth place.
426,UrbanCart,Retail,UK,2024-02-24,Ransomware,Web App,Health Records,432759,3731072,1427991,27,72485,Yes,No,50,4,External,Yes,315027,Late foreign make rock.
427,SafePay Group,Finance,UK,2024-12-15,Credential Theft,Email,Financial Data,545290,3756255,1569825,10,23608,Yes,Yes,44,24,External,Yes,29499,Mother shoulder work maybe shoulder discover yard.
428,TechBloom,Tech,Brazil,2024-03-05,Credential Theft,USB Drive,Health Records,492449,4126266,284569,27,54608,No,No,35,12,Internal,Yes,213721,Word style accept save professional.
429,GreenVolt,Energy,Canada,2025-07-06,Credential Theft,USB Drive,Health Records,841065,2582965,1230299,7,6577,Yes,Unknown,80,22,External,Yes,721445,City heavy military hospital food speech.
430,NovaBank,Finance,Canada,2020-11-17,Data Breach,USB Drive,Customer Data,901905,2388635,1171449,6,62082,No,Yes,56,14,Internal,Yes,442836,Network indeed Mrs.
431,MediTech Global,Healthcare,Japan,2023-12-24,DDoS,USB Drive,Health Records,807682,3821345,1278091,19,22425,No,No,53,25,External,Yes,459481,Eight around government.
432,NovaBank,Finance,Canada,2023-05-25,Data Breach,Cloud Misconfig,User Credentials,41070,1219153,61984,13,89691,Yes,No,13,19,External,Yes,15441,Measure record add could.
433,CodeVista,Tech,Japan,2024-03-17,Malware,Cloud Misconfig,Financial Data,85137,4042761,1010414,30,52985,Yes,No,84,24,External,No,361326,Notice white test.
434,EnergyCore,Energy,India,2023-12-29,Malware,Third-party Vendor,User Credentials,547859,3002537,362334,11,73077,No,No,43,1,External,No,208773,Least employee space view style couple across.
435,TrackSwift,Logistics,France,2022-05-06,Malware,Email,User Credentials,170817,3391324,744736,12,47354,Yes,No,52,9,Internal,No,579231,This usually field hope former follow special firm.
436,ShopEase,Retail,Japan,2025-02-07,Data Breach,Web App,User Credentials,691122,908266,826923,15,17979,No,Unknown,59,26,Internal,Yes,113256,Both similar which product wish room director cultural.
437,TrackSwift,Logistics,France,2023-12-28,DDoS,Cloud Misconfig,Health Records,449139,2817032,1271369,15,3841,Yes,Unknown,93,12,External,Yes,957490,Summer long tonight away during financial officer.
438,TrackSwift,Logistics,India,2022-07-11,Phishing,USB Drive,Employee Records,405369,1574078,1014673,20,70612,Yes,Yes,75,4,External,No,99543,Material nothing although sort next coach.
439,NetLine,Telecom,Australia,2021-12-16,Malware,Third-party Vendor,Financial Data,152797,4554787,1943430,2,8243,Yes,Unknown,48,27,Internal,Yes,501693,Work place role check represent great throughout.
440,TrustCapital,Finance,Germany,2021-06-03,Data Breach,Phishing Link,Customer Data,158885,4894118,1241243,24,29374,Yes,Yes,35,16,Internal,Yes,352347,Color want goal some area.
441,CloudForge,Tech,Brazil,2024-06-25,Phishing,Cloud Misconfig,Financial Data,582341,2263347,1509921,28,10586,Yes,No,17,7,External,No,57342,Conference painting civil area.
442,ShopEase,Retail,USA,2024-09-29,Malware,Phishing Link,Employee Records,600266,930096,1713107,21,64111,No,No,49,23,Internal,Yes,917809,Important health save there.
443,SkillBridge,Education,France,2024-10-25,Data Breach,USB Drive,Customer Data,252837,715150,1729640,20,15888,No,Yes,84,6,External,Yes,108427,Low worry despite our point head place.
444,UrbanCart,Retail,Japan,2022-11-21,Phishing,Third-party Vendor,Customer Data,421161,695016,1546174,19,4144,Yes,Unknown,23,19,Internal,No,425039,Add area score night technology without.
445,GreenVolt,Energy,USA,2024-07-25,Ransomware,Third-party Vendor,Employee Records,329677,2188574,454464,24,79067,No,Yes,13,6,External,Yes,550186,Believe especially strategy project force near less end.
446,TrackSwift,Logistics,Japan,2024-08-19,Data Breach,Third-party Vendor,Financial Data,37000,3747808,546810,13,29723,Yes,Unknown,4,21,Internal,No,542501,Speech family within exist local shoulder small.
447,NetLine,Telecom,USA,2021-10-02,Credential Theft,Email,Customer Data,417389,3974013,950874,2,9609,No,No,3,11,External,Yes,559489,Time trouble wonder animal food cost.
448,NetLine,Telecom,Canada,2023-10-25,DDoS,Third-party Vendor,Health Records,430876,944749,1205839,26,42320,Yes,Unknown,8,1,External,Yes,770841,Follow explain face certainly.
449,RoadRunner Logi,Logistics,France,2024-06-13,DDoS,Web App,Employee Records,866150,2834662,1117471,22,63656,No,Unknown,7,4,Internal,No,84184,Cold feel glass.
450,FastMove,Logistics,Australia,2021-07-15,DDoS,Email,Employee Records,851223,2082716,1747724,22,89175,Yes,No,32,14,Internal,Yes,664768,Major accept range once.
451,EduFuture,Education,India,2022-07-30,Phishing,Email,Employee Records,923871,1693435,703101,13,17539,No,No,69,2,External,No,184271,Only however however hour food.
452,EduFuture,Education,USA,2025-01-12,Ransomware,USB Drive,Financial Data,97798,3783687,1107360,1,42038,No,No,12,11,External,Yes,593383,Experience as parent school TV.
453,ShopEase,Retail,Brazil,2021-07-05,Ransomware,Third-party Vendor,Health Records,585993,4417887,1745802,29,13639,No,No,46,5,External,Yes,845826,Feel central politics through.
454,ShopEase,Retail,Canada,2022-04-20,Data Breach,Web App,User Credentials,487963,3777226,1671699,5,27123,No,Unknown,96,1,External,No,707731,Enter office race life natural understand.
455,ShopEase,Retail,Canada,2020-12-26,Malware,Phishing Link,Employee Records,752070,4085848,126927,19,52096,Yes,Unknown,48,23,Internal,No,906403,Imagine executive law only.
456,SafePay Group,Finance,Australia,2024-03-26,Data Breach,Web App,Employee Records,562729,4996999,424744,9,1072,No,No,62,13,Internal,Yes,548940,Year part work almost water rise.
457,ConnectNow,Telecom,Singapore,2023-07-13,Credential Theft,Third-party Vendor,User Credentials,206599,3735364,679147,6,79634,No,Yes,14,11,Internal,Yes,387574,Read consumer turn million do.
458,CloudForge,Tech,UK,2022-09-15,Ransomware,Email,Financial Data,323165,425644,1902613,25,91341,No,No,13,9,Internal,No,341716,We hotel analysis give ten reach.
459,TrackSwift,Logistics,Germany,2021-05-05,Malware,Third-party Vendor,Financial Data,44175,4307402,476217,16,25088,No,No,36,3,External,No,524129,Guy purpose cup claim side.
460,CodeVista,Tech,France,2024-12-02,Malware,Web App,Employee Records,231016,1970584,400852,22,40126,No,Yes,87,11,External,Yes,17232,Beautiful teach ago source.
461,TrustCapital,Finance,Australia,2020-08-27,Ransomware,Web App,Health Records,67031,4658584,460729,17,6201,No,No,55,20,Internal,Yes,256230,Expert control next might indicate music nor.
462,EduFuture,Education,UK,2021-08-11,Phishing,Cloud Misconfig,Employee Records,791198,2251998,549167,19,32309,No,No,12,27,External,No,688320,Attorney great test chair physical.
463,BrightMinds,Education,Canada,2023-09-11,Phishing,Cloud Misconfig,User Credentials,42066,1627253,345258,4,65892,No,Yes,5,28,Internal,No,950606,Project area source occur main possible pull.
464,CargoXpress,Logistics,Singapore,2022-08-29,DDoS,USB Drive,User Credentials,844956,884346,1388285,12,26052,No,Yes,10,28,External,Yes,385250,Tend toward left give.
465,EduFuture,Education,Canada,2021-11-14,Ransomware,Email,User Credentials,754142,1384142,842714,4,38158,No,No,75,21,External,Yes,194530,Book there role line every thousand.
466,CargoXpress,Logistics,Brazil,2022-02-14,Data Breach,USB Drive,Financial Data,452484,2924491,1509020,15,5416,No,Yes,10,24,External,Yes,724183,None question around instead.
467,BrightMinds,Education,UK,2021-02-26,Phishing,Phishing Link,Financial Data,78452,2344129,1753477,13,77045,Yes,No,26,20,Internal,No,41455,Specific bill field later.
468,ShopEase,Retail,Canada,2020-12-26,Credential Theft,Email,User Credentials,756347,1319004,925686,22,24675,Yes,Yes,10,10,External,Yes,412074,Hotel police decide laugh can middle beyond guy.
469,LifeSure Health,Healthcare,Canada,2025-03-12,DDoS,Email,Customer Data,778319,3809209,1434285,27,77806,Yes,No,8,18,External,Yes,906254,Often class contain there herself.
470,TrackSwift,Logistics,France,2025-05-17,Ransomware,Third-party Vendor,Employee Records,738360,1293861,622349,19,61351,Yes,Yes,20,30,Internal,Yes,796692,Movement key against two country huge.
471,ShopEase,Retail,Germany,2021-02-06,Phishing,USB Drive,Employee Records,276398,1908966,1117610,4,40028,Yes,Yes,90,23,Internal,Yes,114799,Act lot certainly success light pretty term.
472,SafePay Group,Finance,USA,2020-09-13,Credential Theft,Third-party Vendor,Health Records,31052,1639978,889890,9,90636,No,Yes,34,11,Internal,Yes,244199,National part firm mother certain call.
473,EnergyCore,Energy,France,2022-10-26,Data Breach,Email,Health Records,572051,878271,148679,8,6427,Yes,Unknown,56,8,Internal,No,432056,That summer from individual north.
474,MegaMart,Retail,UK,2022-02-01,DDoS,Phishing Link,Employee Records,216677,4772516,290869,4,72617,Yes,No,81,4,Internal,No,649307,Picture other adult consider.
475,GreenVolt,Energy,France,2021-09-10,Data Breach,USB Drive,Employee Records,490907,4377173,497336,30,42031,Yes,Unknown,36,10,Internal,Yes,972462,Beat rather rich best last people name.
476,AxisWealth,Finance,Germany,2024-04-17,DDoS,Third-party Vendor,Financial Data,391985,336920,1230431,19,1396,No,No,47,27,External,No,977548,Play long south final.
477,SkillBridge,Education,Canada,2021-06-09,Data Breach,Cloud Misconfig,Customer Data,163604,4428900,1750623,12,74326,Yes,Unknown,86,30,Internal,Yes,647882,Son common represent scene would even.
478,UrbanCart,Retail,India,2023-01-16,Data Breach,USB Drive,Customer Data,574464,3741085,715049,1,12706,No,No,94,22,Internal,No,598195,Friend shoulder catch instead turn win professor.
479,BioGenix,Healthcare,UK,2022-02-08,Credential Theft,Web App,User Credentials,335447,4132314,1647627,20,68466,Yes,Yes,57,8,Internal,Yes,638263,Concern suddenly scene mother recent her step.
480,SafePay Group,Finance,UK,2020-09-03,Credential Theft,Web App,Financial Data,227243,568734,801117,7,14888,No,Yes,40,29,Internal,Yes,78390,Pick his style particular receive.
481,GreenVolt,Energy,India,2025-01-02,Phishing,Email,Employee Records,151046,3006326,1395660,12,37791,No,Unknown,31,30,Internal,No,736540,Perhaps amount security situation society drop.
482,GreenVolt,Energy,Japan,2022-07-19,Credential Theft,USB Drive,Customer Data,947309,4870596,1690924,18,41828,Yes,No,22,3,External,Yes,387503,Media summer past speech safe tell.
483,ConnectNow,Telecom,India,2020-09-28,Ransomware,USB Drive,Employee Records,901306,1083004,829677,28,41161,No,Unknown,86,28,External,No,234087,Imagine if budget develop rule street bad.
484,AxisWealth,Finance,Singapore,2024-09-06,Ransomware,Email,Health Records,245613,4261241,630028,17,73443,Yes,Yes,19,16,Internal,Yes,775920,Cut why test spring we view.
485,LifeSure Health,Healthcare,India,2022-09-12,Data Breach,Phishing Link,Customer Data,418052,4461668,358230,25,5780,No,Unknown,46,3,Internal,Yes,854014,Trial cell land determine among.
486,EduFuture,Education,India,2021-10-30,Phishing,Email,Customer Data,296230,4768874,1171032,20,20234,Yes,Yes,25,17,Internal,No,28432,Huge expect family front live three television turn.
487,Learnify,Education,Germany,2023-04-22,Ransomware,Cloud Misconfig,Health Records,830012,1033582,1954602,5,18704,Yes,No,86,13,External,Yes,524055,Pressure serious Republican.
488,RoadRunner Logi,Logistics,Australia,2021-06-11,Ransomware,Phishing Link,Financial Data,442678,1592730,621755,3,98366,No,Yes,58,18,External,Yes,267500,Happy seem call face gun study start.
489,ConnectNow,Telecom,UK,2023-08-29,Phishing,Web App,Employee Records,39200,3465009,1988767,28,79687,No,Yes,3,1,External,No,987136,Impact believe person tough.
490,SkillBridge,Education,Japan,2024-10-30,Phishing,Third-party Vendor,Employee Records,292026,1950881,1274415,3,55254,Yes,Unknown,74,22,External,No,554496,Fire heart forward attack executive quickly option.
491,EduFuture,Education,UK,2020-08-31,Data Breach,Web App,Customer Data,927820,2473857,1857012,10,62629,Yes,No,10,5,Internal,No,256960,Old spend knowledge fear nation material heavy.
492,RoadRunner Logi,Logistics,Canada,2021-10-24,Phishing,Phishing Link,Health Records,106388,2781878,203690,16,65362,No,Yes,66,5,Internal,No,628246,Price would Democrat up.
493,SkillBridge,Education,Singapore,2021-04-17,Ransomware,Web App,Health Records,532017,942656,1857591,26,63161,No,No,29,6,Internal,No,367270,Professional road thus defense its right new.
494,EnergyCore,Energy,Brazil,2023-08-30,Phishing,Phishing Link,Financial Data,561350,1378328,1414427,13,77897,No,Unknown,2,8,Internal,Yes,473531,Street picture member family before message.
495,NetLine,Telecom,Brazil,2022-03-05,DDoS,Email,Employee Records,989434,2886332,1458399,11,97167,No,Yes,33,8,Internal,No,24361,Former which wish wind value agree school.
496,RoadRunner Logi,Logistics,USA,2021-05-15,Credential Theft,Cloud Misconfig,Health Records,79011,2065203,532099,24,82996,No,Unknown,38,13,Internal,No,218199,Away with performance art these.
497,LifeSure Health,Healthcare,France,2020-09-10,Data Breach,Third-party Vendor,Health Records,391408,314563,1097149,13,80707,No,Unknown,74,16,External,No,154272,Drop while foot table.
498,SkillBridge,Education,UK,2021-11-26,DDoS,Cloud Misconfig,Customer Data,680164,1478599,1137009,12,18257,No,Yes,93,10,External,No,8338,Low compare technology its sort cup rest.
499,CloudForge,Tech,Canada,2024-12-08,Phishing,Phishing Link,Financial Data,345064,4414962,805158,15,15584,No,Yes,63,13,External,Yes,469899,Continue get begin manage.
500,GreenVolt,Energy,Canada,2021-02-07,Data Breach,Cloud Misconfig,Financial Data,48335,497199,283565,17,8313,Yes,No,30,22,Internal,No,1330,Take member wrong truth ground data American.
501,TrackSwift,Logistics,Germany,2021-10-28,DDoS,Email,Financial Data,674353,4953012,75965,14,37046,No,Yes,1,10,Internal,No,27265,Evening all song.
502,CloudForge,Tech,Brazil,2022-12-29,Data Breach,Web App,Employee Records,811589,2771127,1669955,7,89153,No,No,46,12,External,No,140973,They about allow fast then.
503,FastMove,Logistics,France,2022-05-31,Malware,USB Drive,Employee Records,504059,4221002,288919,10,48803,Yes,No,80,22,External,Yes,526215,Culture four you with.
504,MediTech Global,Healthcare,India,2022-12-30,Phishing,USB Drive,Employee Records,183376,2355210,1476021,7,28847,No,Yes,58,25,External,Yes,412587,Mouth base visit management political laugh beautiful officer.
505,OpenCampus,Education,Australia,2021-11-24,Ransomware,Cloud Misconfig,User Credentials,790044,2209110,349542,2,54209,No,Unknown,34,26,External,Yes,614234,Far real reduce avoid sell yard.
506,TechBloom,Tech,USA,2022-05-24,Data Breach,Web App,User Credentials,991618,2186447,198173,19,29148,No,No,43,20,Internal,Yes,577469,Full book certainly career.
507,Learnify,Education,Singapore,2025-05-27,DDoS,Cloud Misconfig,User Credentials,77647,2796356,198707,1,73045,No,No,47,15,Internal,Yes,628452,Traditional attack indeed real marriage.
508,BioGenix,Healthcare,USA,2020-08-20,Ransomware,Phishing Link,User Credentials,194224,1133158,431979,13,33818,Yes,Yes,14,24,External,No,504231,Lose raise summer list recent.
509,FastMove,Logistics,UK,2025-05-28,Ransomware,Third-party Vendor,Employee Records,115162,4996157,249087,5,60086,Yes,Unknown,53,16,External,No,104928,Catch firm no accept stop single.
510,LifeSure Health,Healthcare,France,2023-10-11,Malware,Email,User Credentials,825936,2061492,200705,20,65849,Yes,Unknown,79,4,External,No,27772,Clearly practice population before senior.
511,BrightMinds,Education,Germany,2022-08-24,Credential Theft,Phishing Link,Employee Records,41615,2630825,1888534,22,39103,Yes,No,97,17,External,Yes,413355,Day character fish agency old history blue.
512,EduFuture,Education,India,2023-05-29,Phishing,USB Drive,Health Records,721792,597218,932694,30,31563,No,Yes,10,15,Internal,Yes,92804,General industry send onto never government suffer.
513,OpenCampus,Education,Australia,2025-01-06,Phishing,Cloud Misconfig,Financial Data,838280,4301271,1708312,15,21481,Yes,No,48,11,External,No,167697,Word over play heavy expect.
